U+2AA7B	𪩻	js
U+2AA7C	𪩼	jw
U+2AA7D	𪩽	jy
U+2AA7E	𪩾	yf
U+2AA7F	𪩿	jt
U+2AA80	𪪀	sc
U+2AA81	𪪁	gj
U+2AA82	𪪂	zg
U+2AA83	𪪃	bb
U+2AA84	𪪄	pr
U+2AA85	𪪅	py
U+2AA86	𪪆	pn
U+2AA87	𪪇	pp
U+2AA88	𪪈	bn
U+2AA89	𪪉	xm
U+2AA8A	𪪊	ys
U+2AA8B	𪪋	yc
U+2AA8C	𪪌	gf
U+2AA8D	𪪍	gw
U+2AA8E	𪪎	gz
U+2AA8F	𪪏	gl
U+2AA90	𪪐	gw
U+2AA91	𪪑	gq
U+2AA92	𪪒	gj
U+2AA93	𪪓	gf
U+2AA94	𪪔	gb
U+2AA95	𪪕	gr
U+2AA96	𪪖	gz
U+2AA97	𪪗	gj
U+2AA98	𪪘	gy
U+2AA99	𪪙	gw
U+2AA9A	𪪚	gk
U+2AA9B	𪪛	gn
U+2AA9C	𪪜	gw
U+2AA9D	𪪝	gy
U+2AA9E	𪪞	gs
U+2AA9F	𪪟	gh
U+2AAA0	𪪠	fy
U+2AAA1	𪪡	gb
U+2AAA2	𪪢	gj
U+2AAA3	𪪣	gs
